id,A,B,C,D,E,F,G,H,I,Target
0,-0.764706,-0.125628,-0.0491803,-0.676768,-0.877069,-0.0253353,-0.924851,-0.866667,0.10870810502280137,1.0
1,-0.294118,-0.0150754,-0.0491803,-0.333333,-0.550827,0.0134128,-0.699402,-0.266667,0.14155660933782377,1.0
2,-0.529412,0.296482,-0.0163934,-0.757576,-0.453901,-0.180328,-0.616567,-0.666667,0.39194841218739596,1.0
3,-0.294118,-0.0351759,0.0,0.0,0.0,-0.293592,-0.904355,-0.766667,-0.3086654333522736,1.0
4,-0.882353,0.678392,0.213115,-0.656566,-0.659574,-0.302534,-0.684885,-0.6,-0.4615135381012381,0.0
5,-0.411765,0.306533,0.344262,0.0,0.0,0.165425,-0.250213,-0.466667,-0.22652930739892518,0.0
6,0.0,-0.21608,0.442623,-0.414141,-0.905437,0.0998511,-0.695986,0.0,-0.9281154524065158,1.0
7,0.0,0.21608,0.0819672,-0.393939,-0.609929,0.0223547,-0.893254,-0.6,-0.5740716769821785,0.0
8,-0.882353,0.969849,0.245902,-0.272727,-0.411348,0.0879285,-0.319385,-0.733333,-0.8588625051991403,0.0
9,-0.529412,0.849246,0.278689,-0.212121,-0.345154,0.102832,-0.841161,-0.666667,0.50474905887536,0.0
10,0.0,0.19598,0.0819672,-0.454545,0.0,0.156483,-0.845431,-0.966667,-0.2502588409525919,1.0
11,-0.882353,0.306533,0.147541,-0.737374,-0.751773,-0.228018,-0.663535,-0.966667,-0.9185423953620597,1.0
12,-0.764706,-0.115578,0.213115,-0.616162,-0.874704,-0.135618,-0.87105,-0.966667,0.3442710948117571,1.0
13,-0.411765,0.155779,0.606557,0.0,0.0,0.576751,-0.88813,-0.766667,0.2457809516380005,0.0
14,0.0,0.266332,0.377049,-0.414141,-0.491726,-0.0849478,-0.622545,-0.9,0.6452011213193165,1.0
15,-0.176471,-0.165829,0.278689,-0.474747,-0.832151,-0.126677,-0.411614,-0.5,0.726206851751187,1.0
16,-0.882353,-0.0854271,-0.114754,-0.494949,-0.763593,-0.248882,-0.866781,-0.933333,-0.5771039860069107,1.0
17,-0.647059,-0.19598,0.0,0.0,0.0,0.0,-0.918019,-0.966667,-0.43807362081553936,1.0
18,-0.529412,0.165829,0.180328,-0.757576,-0.794326,-0.341282,-0.671221,-0.466667,0.5012295032817167,1.0
19,-0.882353,0.0954774,-0.0819672,-0.575758,-0.680851,-0.248882,-0.355252,-0.933333,-0.5158894569769992,1.0
20,-0.176471,0.296482,0.114754,-0.010101,-0.704492,0.147541,-0.691716,-0.266667,0.8587519782551716,0.0
21,-0.882353,0.246231,0.213115,-0.272727,0.0,-0.171386,-0.981213,-0.7,0.7935768198120237,1.0
22,-0.764706,0.467337,0.147541,-0.232323,-0.148936,-0.165425,-0.778822,-0.733333,-0.9253036225015712,0.0
23,-0.647059,-0.256281,0.114754,-0.434343,-0.893617,-0.114754,-0.816396,-0.933333,0.15380776925271822,1.0
24,-0.529412,0.718593,0.180328,0.0,0.0,0.299553,-0.657558,-0.833333,-0.0149646123622722,0.0
25,-0.176471,0.00502513,0.0,0.0,0.0,-0.105812,-0.653288,-0.633333,-0.6363500655857988,0.0
26,-0.882353,0.0653266,0.147541,-0.434343,-0.680851,0.0193741,-0.945346,-0.966667,0.18718490710809732,1.0
27,0.0588235,0.346734,0.213115,-0.333333,-0.858156,-0.228018,-0.673783,1.0,-0.15155598150604743,1.0
28,0.0588235,0.0653266,-0.147541,0.0,0.0,-0.0700447,-0.742101,-0.3,0.9333096380873391,1.0
29,-0.411765,-0.145729,0.213115,-0.555556,0.0,-0.135618,-0.0213493,-0.633333,-0.34920060368146455,0.0
30,-0.764706,0.396985,0.229508,0.0,0.0,-0.23696,-0.923997,-0.733333,0.7754083655165995,1.0
31,0.0,-0.0452261,0.393443,-0.494949,-0.914894,0.114754,-0.855679,-0.9,0.5111022770860973,0.0
32,0.0,-0.0552764,0.0,0.0,0.0,0.0,-0.847993,-0.866667,0.5831580874516971,1.0
33,-0.647059,0.487437,0.0819672,-0.494949,0.0,-0.0312965,-0.847993,-0.966667,-0.8194204598911834,1.0
34,-0.176471,0.366834,0.47541,0.0,0.0,-0.108793,-0.887276,-0.0333333,-0.42857582743627853,1.0
35,0.0,-0.0452261,0.311475,-0.0909091,-0.782506,0.0879285,-0.784799,-0.833333,0.9732791570023509,1.0
36,-0.882353,0.0753769,0.114754,-0.616162,0.0,-0.210134,-0.925705,-0.9,0.27511494271042625,1.0
37,-0.882353,-0.0452261,-0.0163934,-0.636364,-0.862884,-0.28763,-0.844577,-0.966667,-0.5045380209976851,1.0
38,0.0,0.0452261,0.0491803,-0.535354,-0.725768,-0.171386,-0.678907,-0.933333,0.8264811051129426,1.0
39,-0.176471,0.427136,0.47541,-0.515152,0.134752,-0.0938897,-0.957301,-0.266667,0.1432253789397997,0.0
40,0.294118,0.366834,0.377049,-0.292929,-0.692671,-0.156483,-0.844577,-0.3,-0.9598576044445473,0.0
41,-0.529412,0.839196,0.0,0.0,0.0,-0.153502,-0.885568,-0.5,0.33511547704205435,0.0
42,-0.529412,0.447236,-0.0491803,-0.434343,-0.669031,-0.120715,-0.82152,-0.466667,-0.5014155417022501,1.0
43,-0.882353,0.0954774,-0.0163934,-0.838384,-0.56974,-0.242921,-0.257899,0.0,-0.9534561285283483,1.0
